address,baths,beds,cars,link,price,solddate,type
"7 Ifield Street, McDowall", 1, 4, 2,/sold/property-house-qld-mcdowall-118111815,"$560,000",05 Jan 2015,house
"100 De Mille Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118257959,"$550,000",05 Jan 2015,house
"7/216 Trouts Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-121201290,"$380,000",04 Jan 2015,townhouse
"30  Harlow Pl, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118266947,"$620,000",23 Dec 2014,house
"41 Beckett Road, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-117608191,"$405,000",23 Dec 2014,house
"45 De Mille Street, McDowall", 3, 3, 2,/sold/property-house-qld-mcdowall-118425491,"$620,000",12 Dec 2014,house
"57 Hackman Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-118335587,"$671,000",08 Dec 2014,house
"12 Metro Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118500751,"$615,000",05 Dec 2014,house
"28 Gielgud Av, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118246195,"$475,000",04 Dec 2014,house
"6 Hughes Street, McDowall", 2, 4, 3,/sold/property-house-qld-mcdowall-118484831,"$685,000",03 Dec 2014,house
